kode_kec,nama_kec,kode_kab,nama_kab,kode_prov,nama_prov,votes_jokowi,votes_prabowo,suara_sah,suara_tidak_sah,suara_total,kp_kec_names
111001,Pulau Banyak,1110,Kabupaten Aceh Singkil,11,Aceh,426,1816,2242,85,2327,PULAU BANYAK
111002,Simpang Kanan,1110,Kabupaten Aceh Singkil,11,Aceh,3113,5579,8692,234,8927,SIMPANG KANAN
111004,Singkil,1110,Kabupaten Aceh Singkil,11,Aceh,1578,9110,10515,424,10954,SINGKIL
111006,Gunung Meriah,1110,Kabupaten Aceh Singkil,11,Aceh,5051,16291,21339,550,21628,GUNUNG MERIAH
111009,Kota Baharu,1110,Kabupaten Aceh Singkil,11,Aceh,843,2731,3586,179,3753,KOTA BAHARU
111010,Singkil Utara,1110,Kabupaten Aceh Singkil,11,Aceh,1463,4021,5488,158,5645,SINGKIL UTARA
111011,Danau Paris,1110,Kabupaten Aceh Singkil,11,Aceh,2042,1301,3343,188,3533,DANAU PARIS
111012,Suro Makmur,1110,Kabupaten Aceh Singkil,11,Aceh,1620,2937,4557,132,4689,SURO MAKMUR
111013,Singkohor,1110,Kabupaten Aceh Singkil,11,Aceh,1330,2536,3866,86,3951,SINGKOHOR
111014,Kuala Baru,1110,Kabupaten Aceh Singkil,11,Aceh,162,1339,1501,58,1559,KUALA BARU
111016,Pulau Banyak Barat,1110,Kabupaten Aceh Singkil,11,Aceh,755,693,1448,97,1545,PULAU BANYAK BARAT
111101,Samalanga,1111,Kabupaten Bireuen,11,Aceh,1200,12563,13686,494,14247,SAMALANGA
111102,Jeunieb,1111,Kabupaten Bireuen,11,Aceh,722,12389,13111,301,13412,JEUNIEB
111103,Peudada,1111,Kabupaten Bireuen,11,Aceh,1290,12815,13932,738,14678,PEUDADA
111104,Jeumpa,1111,Kabupaten Bireuen,11,Aceh,1173,15604,16769,661,17429,JEUMPA
111105,Peusangan,1111,Kabupaten Bireuen,11,Aceh,1680,26569,28249,832,29079,PEUSANGAN
111106,Makmur,1111,Kabupaten Bireuen,11,Aceh,547,7676,8223,530,8753,MAKMUR
111107,Gandapura,1111,Kabupaten Bireuen,11,Aceh,652,12299,13167,361,13528,GANDAPURA
111108,Pandrah,1111,Kabupaten Bireuen,11,Aceh,315,4137,4452,177,4629,PANDRAH
111109,Juli,1111,Kabupaten Bireuen,11,Aceh,1170,15980,17151,519,17670,JULI
111110,Jangka,1111,Kabupaten Bireuen,11,Aceh,646,14618,15272,454,15787,JANGKA
111111,Simpang Mamplam,1111,Kabupaten Bireuen,11,Aceh,1243,12074,13317,623,13941,SIMPANG MAMPLAM
111112,Peulimbang,1111,Kabupaten Bireuen,11,Aceh,368,5847,6216,190,6411,PEULIMBANG
111113,Kota Juang,1111,Kabupaten Bireuen,11,Aceh,2088,22335,24341,694,25124,KOTA JUANG
111114,Kuala,1111,Kabupaten Bireuen,11,Aceh,680,9611,10095,449,10544,KUALA
111115,Peusangan Siblah Krueng,1111,Kabupaten Bireuen,11,Aceh,399,6068,6567,224,6603,PEUSANGAN SIBLAH KRUENG
