kode_kec,nama_kec,kode_kab,nama_kab,kode_prov,nama_prov,votes_jokowi,votes_prabowo,suara_sah,suara_tidak_sah,suara_total
111706,Wih Pesam,1117,Kabupaten Bener Meriah,11,Aceh,4407,9494,13694,566,14257
111707,Timang gajah,1117,Kabupaten Bener Meriah,11,Aceh,4562,8008,12570,349,12158
111708,Bener Kelipah,1117,Kabupaten Bener Meriah,11,Aceh,1204,1686,2890,77,2967
111709,Mesidah,1117,Kabupaten Bener Meriah,11,Aceh,1708,964,2672,52,2724
111710,Gajah Putih,1117,Kabupaten Bener Meriah,11,Aceh,1999,3245,5244,174,5436
111801,Meureudu,1118,Kabupaten Pidie Jaya,11,Aceh,832,11832,12447,557,13022
111802,Ulim,1118,Kabupaten Pidie Jaya,11,Aceh,724,7951,8669,378,9053
111803,Jangka Buya,1118,Kabupaten Pidie Jaya,11,Aceh,382,4964,5340,410,5753
111804,Bandar Dua,1118,Kabupaten Pidie Jaya,11,Aceh,1033,13460,13681,1862,15030
111805,Meurah Dua,1118,Kabupaten Pidie Jaya,11,Aceh,540,6271,6731,180,6961
111806,Bandar Baru,1118,Kabupaten Pidie Jaya,11,Aceh,1526,19353,20127,1430,21402
111807,Panteraja,1118,Kabupaten Pidie Jaya,11,Aceh,383,4647,4954,319,5342
111808,Trienggadeng,1118,Kabupaten Pidie Jaya,11,Aceh,1224,12155,13383,443,13779
117101,Baiturrahman,1171,Kota Banda Aceh,11,Aceh,2212,14265,16124,553,16822
117102,Kuta Alam,1171,Kota Banda Aceh,11,Aceh,3488,17269,20156,559,20971
117103,Meuraxa,1171,Kota Banda Aceh,11,Aceh,1291,9226,10351,336,24552
117104,Syiah Kuala,1171,Kota Banda Aceh,11,Aceh,1817,14868,16242,763,17039
117105,Lueng Bata,1171,Kota Banda Aceh,11,Aceh,1261,11078,12339,169,12522
117106,Kuta Raja,1171,Kota Banda Aceh,11,Aceh,1027,5174,6201,109,6303
117107,Banda Raya,1171,Kota Banda Aceh,11,Aceh,1227,12372,13586,186,13766
117108,Jaya Baru,1171,Kota Banda Aceh,11,Aceh,1434,10242,11429,407,11831
117109,Ulee Kareng,1171,Kota Banda Aceh,11,Aceh,1368,12060,13452,204,13627
117201,Sukakarya,1172,Kota Sabang,11,Aceh,1660,9059,10720,446,11160
117202,Sukajaya,1172,Kota Sabang,11,Aceh,1071,10114,11184,455,11640
117301,Muara Dua,1173,Kota Lhokseumawe,11,Aceh,1966,22694,24665,966,25623
117302,Banda Sakti,1173,Kota Lhokseumawe,11,Aceh,3425,36975,40121,1224,41641
117303,Blang Mangat,1173,Kota Lhokseumawe,11,Aceh,1171,11395,12168,964,13232
117304,Muara Satu,1173,Kota Lhokseumawe,11,Aceh,1439,15991,17022,808,17626
117401,Langsa Timur,1174,Kota Langsa,11,Aceh,977,7868,8844,301,9141
117402,Langsa Barat,1174,Kota Langsa,11,Aceh,1520,16641,18194,754,18747
117403,Langsa Kota,1174,Kota Langsa,11,Aceh,2514,17161,19421,744,20104
117404,Langsa Lama,1174,Kota Langsa,11,Aceh,2298,15491,17558,551,18174
117405,Langsa Baro,1174,Kota Langsa,11,Aceh,3031,23987,26866,476,26445
